conversion,conversionAjustada2punto2Kg,mortalidadPor,noDePollosMuertos,pesoFinalPolloG,gananciaPesoDiaG,AD3Engrode,AD3Inicio,AD3Preinicio,consumoAjustadoA2punto2Kg,consumoDiaPolloG,consumoTotalPolloG,duracionEngordeDias,ea,edadAjustadaA2punto2Kg,edadEnDias,feep,ip,n,noPollitos,empresa,granja,municipio
1.78,1.82,0.01,2112,2040.39,49.4,0,1,0,4037.75,88.16,3640.84,41.3,114.35,43.37,41,276.87,64.08,258,174413, Operadora  Avicola ,Aguasblancas,Bucaramanga
1.84,1.83,0.02,1215,2242.85,53.91,0,1,0,4027.76,99.38,4134.05,41.6,121.68,41.08,42,292.5,66.02,266,78621, Operadora  Avicola ,Tejar,Pereira
1.66,1.65,0.07,1849,2281.46,55.51,0,1,0,3613.79,92.34,3795.09,41.1,137.15,40.13,41,333.7,82.45,271,27714, Operadora  Avicola ,Querencia, Antioquia  Norte 
1.69,1.64,0.02,1388,2406.47,56.76,0,1,0,3597.95,95.65,4055.46,42.4,142.8,39.94,42,336.79,84.73,282,80146, Operadora  Avicola ,Argentina, Antioquia  Norte 
1.79,1.78,0.02,3211,2237.62,50.86,0,1,0,3922.82,91.22,4013.71,44,124.75,43.52,44,283.51,69.55,307,137112, Operadora  Avicola ,Terranova,Bucaramanga
1.69,1.69,0.04,3441,2215.69,54.84,0,1,0,3716.82,92.89,3752.74,40.4,130.82,40.22,40,323.81,77.24,319,77904, Operadora  Avicola , Rio  Chico , Antioquia  Norte 
1.59,1.54,0.03,3737,2451.72,59.51,0,1,0,3376.85,94.67,3900.34,41.2,154.11,38.32,41,374.06,96.87,320,136433, Operadora  Avicola ,Manantiales, Antioquia  Sur 
1.63,1.58,0.02,558,2455.73,59.17,0,1,0,3462.31,96.57,4007.6,41.5,150.48,38.56,42,362.6,92.21,346,36889, Operadora  Avicola ,Insula,Pereira
1.72,1.7,0.04,3151,2301.84,55.07,0,1,0,3731.57,94.87,3965.6,41.8,133.61,40.57,42,319.64,77.55,348,84198, Operadora  Avicola ,Borinquen, Antioquia  Sur 
1.7,1.68,0.05,5030,2300.22,55.16,0,1,0,3687.81,93.9,3915.43,41.7,135.13,40.49,42,324.06,79.39,364,100856, Operadora  Avicola ,Montecristo, Antioquia  Norte 
1.66,1.67,0.04,3469,2136.33,52.88,0,1,0,3687.02,87.68,3542.44,40.4,128.84,41.19,40,318.9,77.7,365,80591, Operadora  Avicola ,Arenales, Antioquia  Norte 
1.73,1.68,0.05,1086,2413.31,54.85,0,1,0,3681.32,94.66,4164.94,44,139.84,41.37,44,317.81,81.03,177,23713, Operadora  Avicola ,Peñas, Antioquia  Norte 
1.7,1.68,0.05,7126,2289.12,51.91,0,1,0,3698.74,88.47,3901.74,44.1,134.3,42.96,44,304.54,78.79,196,140892, Operadora  Avicola , Balcones  OPAV ,Bucaramanga
1.67,1.67,0.03,1321,2197.95,54.68,0,1,0,3682.5,91.49,3677.85,40.2,131.35,40.23,40,326.75,78.5,226,39452, Operadora  Avicola ,Maquina, Antioquia  Norte 
1.79,1.79,0.02,3893,2191.03,51.8,0,1,0,3933.18,92.47,3911.44,42.3,122.73,42.42,42,290.15,68.75,245,163466, Operadora  Avicola ,Carmelita,Pereira
1.66,1.59,0.05,2046,2499.31,59.51,0,1,0,3496.02,98.58,4140.45,42,150.87,38.56,42,359.21,91.07,262,40351, Operadora  Avicola ,Refugio, Antioquia  Sur 
1.75,1.73,0.03,3193,2256.16,55.03,0,1,0,3812.19,96.2,3944.05,41,129.06,40.33,41,314.79,73.83,300,113354, Operadora  Avicola ,Pomona,Pereira
1.72,1.68,0.03,1445,2360.83,55.81,0,1,0,3695.97,96.03,4062.05,42.3,137.21,40.37,42,324.37,79.75,304,47727, Operadora  Avicola , La  Matica , Antioquia  Sur 
1.61,1.6,0.03,3636,2247.18,56.46,0,1,0,3511.5,90.79,3613.54,39.8,139.75,39.25,40,351.12,86.91,309,132031, Operadora  Avicola ,Coqueta, Antioquia  Norte 
1.78,1.76,0.05,950,2282.88,53.46,0,1,0,3876.12,95.41,4073.96,42.7,127.92,41.67,43,299.59,71.68,327,20096, Operadora  Avicola , San  Pablo ,Bucaramanga
1.67,1.6,0.02,545,2525.94,58.61,0,1,0,3512.99,97.87,4218.18,43.1,151.26,39.28,43,350.95,90.58,333,23114, Operadora  Avicola , Violeta  OPAV , Antioquia  Norte 
1.65,1.6,0.02,2117,2417.58,56.88,0,1,0,3511.22,93.69,3981.72,42.5,146.79,39.91,43,345.38,89.13,335,96880, Operadora  Avicola , Comba  2 , Antioquia  Sur 
1.84,1.83,0.04,9070,2234.15,53.32,0,1,0,4017.5,97.9,4102,41.9,121.68,41.48,42,290.41,66.27,371,211508, Operadora  Avicola ,Gramal,Pereira
1.79,1.87,0.08,6413,1915.11,47.4,0,1,0,4168.8,85.08,3437.35,40.4,106.7,44.16,40,264.11,59.45,382,80505, Operadora  Avicola , Pilar  OPAV , Antioquia  Norte 
